Subsequence,Frequency,Rank
(C(F)(F),7,2526
(C(F)(F)F,7,2527
(C(F)(F)F),7,2528
C(F)(F)F),7,2529
(F)(F)F),7,2530
F)(F)F),7,2531
)(F)F),7,2532
(F)F)c,7,2533
F)F)c,7,2534
)F)c,7,2535
)c3),7,2536
3)cc2),7,2537
(C(=O)OCC,7,2538
CC1(C)S,7,2539
CC1(C)S[,7,2540
CC1(C)S[C,7,2541
CC1(C)S[C@,7,2542
C1(C)S,7,2543
C1(C)S[,7,2544
C1(C)S[C,7,2545
C1(C)S[C@,7,2546
1(C)S,7,2547
1(C)S[,7,2548
1(C)S[C,7,2549
1(C)S[C@,7,2550
H]2[C@@H](,7,2551
]2[C@@H](,7,2552
]2[C@@H](N,7,2553
2[C@@H](,7,2554
2[C@@H](N,7,2555
c3ccccc3)C,7,2556
3ccccc3)C,7,2557
ccccc3)C,7,2558
cccc3)C,7,2559
ccc3)C,7,2560
3)C(,7,2561
3)C(=,7,2562
3)C(=O,7,2563
3)C(=O),7,2564
3)C(=O)N,7,2565
)C(=O)N2[,7,2566
)C(=O)N2[C,7,2567
[C@@H]2C(,7,2568
[C@@H]2C(=,7,2569
C@@H]2C(,7,2570
C@@H]2C(=,7,2571
C@@H]2C(=O,7,2572
@@H]2C(,7,2573
@@H]2C(=,7,2574
@@H]2C(=O,7,2575
@@H]2C(=O),7,2576
)c2ccc(,7,2577
c(OC(,7,2578
N2C(=,7,2579
N2C(=O,7,2580
N2C(=O),7,2581
)[C@@H](NC,7,2582
Cc3c,7,2583
Cc3cc,7,2584
2S,7,2585
(/C=,7,2586
(/C=C,7,2587
@H]1CCC,7,2588
H]1CCC,7,2589
]1CCC,7,2590
1CCC(,7,2591
(=O)NC,7,2592
=O)NC,7,2593
O)NC,7,2594
NC1,7,2595
C2=,7,2596
2=,7,2597
(OCCN,7,2598
CN2,7,2599
CN2C,7,2600
CN2CC,7,2601
C2)cc,7,2602
C2)cc1,7,2603
ccc12,7,2604
cc12,7,2605
nc(-c,7,2606
c1C(=O)N,7,2607
)C[C@H,7,2608
)C[C@H],7,2609
C(C)=O),7,2610
(C)=O),7,2611
C)=O),7,2612
-c2cccc,7,2613
cc1Cl,7,2614
1cnc,7,2615
C(=O)N1,7,2616
=C/c,7,2617
C/c,7,2618
[C@H](N,7,2619
C@H](N,7,2620
NC(=O)[C@H,7,2621
[C@@H]3[,7,2622
[C@@H]3[C,7,2623
[C@@H]3[C@,7,2624
C@@H]3[,7,2625
C@@H]3[C,7,2626
C@@H]3[C@,7,2627
@@H]3[,7,2628
@@H]3[C,7,2629
@@H]3[C@,7,2630
O)C=C,7,2631
)C=C,7,2632
1)N,7,2633
C(=O)O[,7,2634
C(=O)O[C,7,2635
C(=O)O[C@,7,2636
(=O)O[,7,2637
(=O)O[C,7,2638
(=O)O[C@,7,2639
=O)O[,7,2640
=O)O[C,7,2641
=O)O[C@,7,2642
O)CC[C@@H,7,2643
O)CC[C@@H],7,2644
C[C@@H]2[,7,2645
C[C@@H]2[C,7,2646
[C@@H]3CC,7,2647
C@@H]3CC,7,2648
@@H]3CC,7,2649
N3CC,7,2650
cccn,7,2651
NCC,7,2652
ccc4,7,2653
c(OC)cc,7,2654
(OC)cc,7,2655
OC)cc,7,2656
)cc4,7,2657
c4C,7,2658
OC(=O)c1,7,2659
OC(=O)c1c,7,2660
OC(=O)c1cc,7,2661
)cc21,7,2662
c3ccc(N,7,2663
3ccc(N,7,2664
c(N(,7,2665
c(N(C,7,2666
(=O)c3cc,7,2667
=O)c3cc,7,2668
)C[C@@H,7,2669
)C[C@@H],7,2670
CCC3,7,2671
CCCC1,7,2672
)cn,7,2673
)c(Cl,7,2674
)c(Cl),7,2675
)c(Cl)c,7,2676
CC4)c,7,2677
nc2c1,6,2678
[C@H]1O[,6,2679
[C@H]1O[C,6,2680
[C@H]1O[C@,6,2681
C@H]1O[,6,2682
C@H]1O[C,6,2683
C@H]1O[C@,6,2684
P(=,6,2685
P(=O,6,2686
P(=O),6,2687
P(=O)(,6,2688
P(=O)(O,6,2689
P(=O)(O),6,2690
P(=O)(O)O,6,2691
(=O)(O,6,2692
(=O)(O),6,2693
(=O)(O)O,6,2694
=O)(O,6,2695
=O)(O),6,2696
=O)(O)O,6,2697
O)(O)O,6,2698
)(O)O,6,2699
(C[,6,2700
(O)[C@H](O,6,2701
[C@H](O)CO,6,2702
C@H](O)CO,6,2703
CC(=O)[,6,2704
[NH3,6,2705
[NH3+,6,2706
[NH3+],6,2707
NH3,6,2708
NH3+,6,2709
NH3+],6,2710
H3,6,2711
H3+,6,2712
H3+],6,2713
3+,6,2714
3+],6,2715
CC/,6,2716
CC/C,6,2717
[C@@H](N),6,2718
C@@H](N),6,2719
@@H](N),6,2720
N(C)C)c,6,2721
Cn1c(,6,2722
Cn1c(=,6,2723
Cn1c(=O,6,2724
Cn1c(=O),6,2725
n1c(,6,2726
n1c(=,6,2727
n1c(=O,6,2728
n1c(=O),6,2729
)n(C),6,2730
C[N,6,2731
](C)(,6,2732
CCOC(=O)C,6,2733
Oc1ccc(,6,2734
cc(NS,6,2735
cc(NS(,6,2736
c(NS,6,2737
c(NS(,6,2738
(NS,6,2739
(NS(,6,2740
S(C,6,2741
S(C),6,2742
S(C)(,6,2743
S(C)(=,6,2744
S(C)(=O,6,2745
S(C)(=O),6,2746
S(C)(=O)=,6,2747
S(C)(=O)=O,6,2748
(C)(=,6,2749
(C)(=O,6,2750
(C)(=O),6,2751
(C)(=O)=,6,2752
(C)(=O)=O,6,2753
(C)(=O)=O),6,2754
C)(=,6,2755
C)(=O,6,2756
C)(=O),6,2757
C)(=O)=,6,2758
C)(=O)=O,6,2759
C)(=O)=O),6,2760
C)(=O)=O)c,6,2761
)(=O)=O)cc,6,2762
(=O)=O)cc,6,2763
=O)=O)cc,6,2764
O)=O)cc,6,2765
)=O)cc,6,2766
CCc1ccc,6,2767
nc(N),6,2768
c(N)c,6,2769
cc(-c2cc,6,2770
cc3c,6,2771
cc(C(=O)O),6,2772
c2)cc1,6,2773
3C[,6,2774
3C[C,6,2775
3C[C@,6,2776
C3)C,6,2777
C1),6,2778
FC,6,2779
)nc2,6,2780
(O)[C@@H](,6,2781
@H](CO),6,2782
H](CO),6,2783
](CO),6,2784
=O)C(,6,2785
)cc1)c,6,2786
)cc1)c1,6,2787
)cc1)c1c,6,2788
[C@H]1c,6,2789
[C@H]1c1,6,2790
[C@H]1c1c,6,2791
C@H]1c,6,2792
C@H]1c1,6,2793
C@H]1c1c,6,2794
on,6,2795
)O[C@H]2,6,2796
[C@H]2[C@H,6,2797
C@H]2[C@H,6,2798
C@H]2[C@H],6,2799
CO[C@@,6,2800
]3(C,6,2801
(NC(=O)C,6,2802
O)CS,6,2803
C#N,6,2804
#N,6,2805
O)=C(C,6,2806
CSc,6,2807
n3,6,2808
)CS[C@@,6,2809
)CS[C@@H,6,2810
)CS[C@@H],6,2811
CS[C@@,6,2812
CS[C@@H,6,2813
CS[C@@H],6,2814
c2[nH]c,6,2815
2[nH]c,6,2816
@H](Cc,6,2817
H](Cc,6,2818
](Cc,6,2819
cc(I)c(,6,2820
cc(I)c(O,6,2821
c(I)c(,6,2822
c(I)c(O,6,2823
(I)c(,6,2824
(I)c(O,6,2825
I)c(,6,2826
I)c(O,6,2827
)c2)c,6,2828
2)c(,6,2829
)c1),6,2830
@H]1O[C@@,6,2831
@H]1O[C@@H,6,2832
H]1O[C@@,6,2833
H]1O[C@@H,6,2834
H]1O[C@@H],6,2835
]1O[C@@,6,2836
]1O[C@@H,6,2837
]1O[C@@H],6,2838
(CO)[,6,2839
(CO)[C,6,2840
(CO)[C@,6,2841
]1C(=O)N2C,6,2842
1C(=O)N2C,6,2843
C#C[,6,2844
C#C[C,6,2845
C#C[C@,6,2846
#C[,6,2847
#C[C,6,2848
#C[C@,6,2849
[C@]1(O,6,2850
C@]1(O,6,2851
(O)CC[,6,2852
(O)CC[C,6,2853
(O)CC[C@,6,2854
[C@H]3CCC,6,2855
C@H]3CCC,6,2856
4[C,6,2857
4[C@,6,2858
(c1ccc,6,2859
c(cc,6,2860
(cc,6,2861
2(C),6,2862
CCCCCCC,6,2863
[C@H](O)c1,6,2864
C@H](O)c1,6,2865
C@H](O)c1c,6,2866
O)c1ccc(N,6,2867
)c1ccc(N,6,2868
Oc1ccc2,6,2869
c(S(N,6,2870
c(S(N),6,2871
c(S(N)(,6,2872
c(S(N)(=,6,2873
c(S(N)(=O,6,2874
c(S(N)(=O),6,2875
(S(N,6,2876
(S(N),6,2877
(S(N)(,6,2878
(S(N)(=,6,2879
(S(N)(=O,6,2880
(S(N)(=O),6,2881
(S(N)(=O)=,6,2882
CCN1C,6,2883
)N[C@@H](,6,2884
23)c,6,2885
3)c2c,6,2886
3)c2cc,6,2887
2)C(,6,2888
CCC(=O)C,6,2889
[C@@H](C),6,2890
C@@H](C),6,2891
@@H](C),6,2892
CCC4=CC(,6,2893
CCC4=CC(=,6,2894
CCC4=CC(=O,6,2895
CC4=CC(,6,2896
CC4=CC(=,6,2897
CC4=CC(=O,6,2898
CC4=CC(=O),6,2899
[C@H]4,6,2900
C@H]4,6,2901
@H]3CC[C@],6,2902
H]3CC[C@],6,2903
]3CC[C@],6,2904
3CC[C@],6,2905
O)c1ccc(O),6,2906
c1ccc(O)c(,6,2907
1ccc(O)c(,6,2908
ccc(O)c(O,6,2909
ccc(O)c(O),6,2910
cc(O)c(O,6,2911
cc(O)c(O),6,2912
cc(O)c(O)c,6,2913
c(O)c(O,6,2914
c(O)c(O),6,2915
c(O)c(O)c,6,2916
(O)c(O,6,2917
(O)c(O),6,2918
(O)c(O)c,6,2919
O)c(O,6,2920
O)c(O),6,2921
O)c(O)c,6,2922
@H](O)COc,6,2923
@H](O)COc1,6,2924
H](O)COc,6,2925
H](O)COc1,6,2926
](O)COc,6,2927
](O)COc1,6,2928
(O)COc,6,2929
(O)COc1,6,2930
OCC1,6,2931
]1c1cccc([,6,2932
1c1cccc([,6,2933
1c1cccc([N,6,2934
c1cccc([N,6,2935
c1cccc([N+,6,2936
1cccc([N,6,2937
1cccc([N+,6,2938
1cccc([N+],6,2939
[C@@]4,6,2940
[C@@]4(,6,2941
C@@]4,6,2942
C@@]4(,6,2943
@@]4,6,2944
@@]4(,6,2945
@]4(C,6,2946
]4(C,6,2947
(=O)c1cc(,6,2948
=O)c1cc(,6,2949
O)c1cc(,6,2950
cc(Oc,6,2951
NC(=O)N,6,2952
C(=O)Nc3c,6,2953
(=O)Nc3c,6,2954
=O)Nc3c,6,2955
O)Nc3c,6,2956
)Nc3c,6,2957
c(C(F,6,2958
c(C(F),6,2959
c(C(F)(,6,2960
c(C(F)(F,6,2961
c(C(F)(F),6,2962
c(C(F)(F)F,6,2963
C(F)(F)F)c,6,2964
(F)(F)F)c,6,2965
F)(F)F)c,6,2966
)(F)F)c,6,2967
)c3)c,6,2968
(O)(,6,2969
C(C(=O)OCC,6,2970
[C@@H]1c,6,2971
[C@@H]1c1,6,2972
[C@@H]1c1c,6,2973
C@@H]1c,6,2974
C@@H]1c1,6,2975
C@@H]1c1c,6,2976
C@@H]1c1cc,6,2977
@@H]1c,6,2978
@@H]1c1,6,2979
@@H]1c1c,6,2980
@@H]1c1cc,6,2981
@@H]1c1ccc,6,2982
C1(C)S[C@@,6,2983
1(C)S[C@@,6,2984
1(C)S[C@@H,6,2985
)S[C@@H]2[,6,2986
S[C@@H]2[,6,2987
S[C@@H]2[C,6,2988
2[C@@H](NC,6,2989
NC(=O)[C@@,6,2990
3)C(=O)N2,6,2991
3)C(=O)N2[,6,2992
@H]1C(=O)O,6,2993
H]1C(=O)O,6,2994
]1C(=O)O,6,2995
=O)c(,6,2996
O)c(C,6,2997
O)cc2,6,2998
cc(OC(,6,2999
c(OC(=,6,3000
c(OC(=O,6,3001
c(OC(=O),6,3002
O)C(C)(C)C,6,3003
1)C(=O)O,6,3004
CC1=C(C,6,3005
CC1=C(C(,6,3006
CC1=C(C(=,6,3007
CC1=C(C(=O,6,3008
C1=C(C(,6,3009
C1=C(C(=,6,3010
C1=C(C(=O,6,3011
C1=C(C(=O),6,3012
1=C(C(,6,3013
1=C(C(=,6,3014
1=C(C(=O,6,3015
1=C(C(=O),6,3016
1=C(C(=O)O,6,3017
N2C(=O)[,6,3018
N2C(=O)[C,6,3019
N2C(=O)[C@,6,3020
2C(=O)[,6,3021
2C(=O)[C,6,3022
2C(=O)[C@,6,3023
2C(=O)[C@@,6,3024
@H]2S,6,3025
@H]2SC,6,3026
@H]2SC1,6,3027
H]2S,6,3028
H]2SC,6,3029
H]2SC1,6,3030
]2S,6,3031
]2SC,6,3032
]2SC1,6,3033
2SC,6,3034
2SC1,6,3035
SC1,6,3036
Oc1cc(,6,3037
1cc(C,6,3038
(/C=C/,6,3039
C/C=C/,6,3040
=C/C(=,6,3041
@H]1CCC(,6,3042
H]1CCC(,6,3043
]1CCC(,6,3044
Nc1cccc,6,3045
c1cccc2c,6,3046
1cccc2c,6,3047
C(=O)NC,6,3048
C2=O,6,3049
2=O,6,3050
c1ccc(OCC,6,3051
1ccc(OCC,6,3052
c(OCCN,6,3053
CCCC2,6,3054
)c1c(,6,3055
)ccc1,6,3056
nc(-c2,6,3057
nc(-c2c,6,3058
(C)(C)[C@@,6,3059
C)(C)[C@@,6,3060
C)(C)[C@@H,6,3061
)(C)[C@@,6,3062
)(C)[C@@H,6,3063
)(C)[C@@H],6,3064
CCCCC(,6,3065
(C)[C@@H]1,6,3066
C)[C@@H]1C,6,3067
NC[C@@,6,3068
NC[C@@H,6,3069
NC[C@@H],6,3070
NC[C@@H](,6,3071
=C(\C,6,3072
C(\C,6,3073
(\C,6,3074
\C(,6,3075
=O)N[C@H]1,6,3076
O)N[C@H]1,6,3077
O)N[C@H]1C,6,3078
)N[C@H]1,6,3079
)N[C@H]1C,6,3080
)N[C@H]1C(,6,3081
N[C@H]1C(,6,3082
N[C@H]1C(=,6,3083
12),6,3084
sc(,6,3085
C(=O)Oc,6,3086
(=O)Oc,6,3087
=O)Oc,6,3088
O)Oc,6,3089
)Oc,6,3090
C(=O)Nc1,6,3091
(=O)Nc1,6,3092
=O)Nc1,6,3093
O)Nc1,6,3094
)Nc1,6,3095
O)COc1c,6,3096
O)COc1cc,6,3097
O)COc1ccc,6,3098
O)COc1cccc,6,3099
)COc1c,6,3100
)COc1cc,6,3101
)COc1ccc,6,3102
)COc1cccc,6,3103
)CCCCC,6,3104
c(-c2cccc,6,3105
(-c2cccc,6,3106
)c(N,6,3107
(=O)(=O)c1,6,3108
=O)(=O)c1,6,3109
=O)(=O)c1c,6,3110
O)(=O)c1,6,3111
O)(=O)c1c,6,3112
O)(=O)c1cc,6,3113
)(=O)c1,6,3114
)(=O)c1c,6,3115
)(=O)c1cc,6,3116
c1cn,6,3117
1cnc2,6,3118
CC(=O)O),6,3119
O)C(=,6,3120
O)C(=O,6,3121
O)C(=O),6,3122
)[C@H]2,6,3123
c2)CC,6,3124
2)CC1,6,3125
(=O)[C@H](,6,3126
=O)[C@H](,6,3127
O)[C@H](C,6,3128
O)c3cccc,6,3129
O)c3ccccc,6,3130
CC(=O)C=,6,3131
CC(=O)C=C,6,3132
C(=O)C=,6,3133
C(=O)C=C,6,3134
(=O)C=,6,3135
(=O)C=C,6,3136
=O)C=,6,3137
=O)C=C,6,3138
)[C@],6,3139
@]2(C,6,3140
]2(C,6,3141
[C@@H](CC,6,3142
C@@H](CC,6,3143
@@H](CC,6,3144
c1)N,6,3145
CC[C@@H]2[,6,3146
H]2[C@@H]3,6,3147
]2[C@@H]3,6,3148
]2[C@@H]3C,6,3149
2[C@@H]3,6,3150
2[C@@H]3C,6,3151
@H](C)C,6,3152
H](C)C,6,3153
](C)C,6,3154
C(=O)c2,6,3155
C(=O)c2c,6,3156
(=O)c2cc,6,3157
=O)c2cc,6,3158
O)c2ccc,6,3159
2)n,6,3160
C(=O)OCCN,6,3161
(=O)OCCN,6,3162
=O)OCCN,6,3163
O)OCCN,6,3164
)OCCN,6,3165
N)cc,6,3166
O)/,6,3167
c1c(C),6,3168
1c(C),6,3169
C)c2c,6,3170
c3[,6,3171
C[C@@]1,6,3172
[C@@]12,6,3173
C@@]12,6,3174
@@]12,6,3175
@]12CC[,6,3176
@]12CC[C,6,3177
@]12CC[C@,6,3178
]12CC[,6,3179
]12CC[C,6,3180
]12CC[C@,6,3181
12CC[,6,3182
12CC[C,6,3183
12CC[C@,6,3184
2CC[C@H,6,3185
2CC[C@H],6,3186
@H]3c,6,3187
H]3c,6,3188
]3c,6,3189
3c4,6,3190
3c4c,6,3191
4CC[,6,3192
4CC[C,6,3193
4CC[C@,6,3194
@H]3[C@H,6,3195
@H]3[C@H],6,3196
H]3[C@H,6,3197
H]3[C@H],6,3198
]3[C@H,6,3199
]3[C@H],6,3200
H]1CC[C@@H,6,3201
]1CC[C@@H,6,3202
]1CC[C@@H],6,3203
1CC[C@@H]2,6,3204
)NO,6,3205
NO,6,3206
COC(=O)c,6,3207
COC(=O)c1,6,3208
COC(=O)c1c,6,3209
3)n,6,3210
cncc,6,3211
cc(N(,6,3212
cc(N(C,6,3213
(N(C),6,3214
cc1OC,6,3215
c1OC,6,3216
OC[,6,3217
OC[C,6,3218
OC[C@,6,3219
(=O)c3ccc,6,3220
=O)c3ccc,6,3221
C)cc(,6,3222
[nH]ccc,6,3223
nH]ccc,6,3224
H]ccc,6,3225
]ccc,6,3226
CCCC3,6,3227
CCCC3),6,3228
CCC3),6,3229
@](C,6,3230
2CCN,6,3231
ccc(F,6,3232
ccc(F),6,3233
ccc(F)c,6,3234
C[C@]12CC,6,3235
[C@]12CC,6,3236
C@]12CC,6,3237
CC[C@@H]1,6,3238
=O)N1C,6,3239
O)N1C,6,3240
)N1CC,6,3241
1CCCC,6,3242
(Nc2,6,3243
c2ncc,6,3244
2ncc,6,3245
CCNC(,6,3246
n2c,6,3247
c1ccc2c(,6,3248
1ccc2c(,6,3249
ccc2c(,6,3250
cc4c,6,3251
n2),6,3252
c5c,6,3253
5c,6,3254
cnc3,6,3255
4)c(,6,3256
c23,6,3257
c23),6,3258
3)c(,6,3259
c2cn,6,3260
2cn,6,3261
cnn,6,3262
c(Nc3,6,3263
c(Nc3c,6,3264
c(Nc3cc,6,3265
(Nc3,6,3266
(Nc3c,6,3267
(Nc3cc,6,3268
OCc,6,3269
nc2c1n,5,3270
nc2c1nc,5,3271
nc2c1ncn,5,3272
nc2c1ncn2,5,3273
nc2c1ncn2[,5,3274
c2c1n,5,3275
c2c1nc,5,3276
c2c1ncn,5,3277
c2c1ncn2,5,3278
c2c1ncn2[,5,3279
c2c1ncn2[C,5,3280
2c1n,5,3281
2c1nc,5,3282
2c1ncn,5,3283
2c1ncn2,5,3284
2c1ncn2[,5,3285
2c1ncn2[C,5,3286
2c1ncn2[C@,5,3287
c1ncn2,5,3288
c1ncn2[,5,3289
c1ncn2[C,5,3290
c1ncn2[C@,5,3291
1ncn2,5,3292
1ncn2[,5,3293
1ncn2[C,5,3294
1ncn2[C@,5,3295
ncn2[,5,3296
ncn2[C,5,3297
ncn2[C@,5,3298
cn2[,5,3299
cn2[C,5,3300
cn2[C@,5,3301
n2[,5,3302
n2[C,5,3303
n2[C@,5,3304
O[C@H](,5,3305
[C@@H]1O,5,3306
C@@H]1O,5,3307
@@H]1O,5,3308
cc2nc,5,3309
=O)n,5,3310
O)CO),5,3311
)CO),5,3312
CO)c,5,3313
c2cc1,5,3314
2cc1,5,3315
(CC(,5,3316
C(=O)[O-]),5,3317
CCCC(=O)O,5,3318
(N)C,5,3319
)Cc1,5,3320
@]2(O,5,3321
@]2(O),5,3322
]2(O,5,3323
]2(O),5,3324
2(O,5,3325
2(O),5,3326
O)CCCC,5,3327
CN(C)C),5,3328
Cn1c(=O)c,5,3329
n1c(=O)c,5,3330
1c(=O)c,5,3331
c(=O)c2c,5,3332
c(n,5,3333
n2C,5,3334
)n(C)c,5,3335
c1=,5,3336
c1=O,5,3337
](C)(C,5,3338
(C)(C)CC,5,3339
C)(C)CC,5,3340
)(C)CC,5,3341
)CCC(,5,3342
CC(=O)OC,5,3343
N(CCO,5,3344
CCOc,5,3345
CCOc1,5,3346
CCOc1c,5,3347
CCOc1cc,5,3348
COc1ccc(,5,3349
ccc(NS,5,3350
ccc(NS(,5,3351
cc(NS(C,5,3352
cc(NS(C),5,3353
cc(NS(C)(,5,3354
cc(NS(C)(=,5,3355
c(NS(C,5,3356
c(NS(C),5,3357
c(NS(C)(,5,3358
c(NS(C)(=,5,3359
c(NS(C)(=O,5,3360
(NS(C,5,3361
(NS(C),5,3362
(NS(C)(,5,3363
(NS(C)(=,5,3364
(NS(C)(=O,5,3365
(NS(C)(=O),5,3366
NS(C,5,3367
NS(C),5,3368
NS(C)(,5,3369
NS(C)(=,5,3370
NS(C)(=O,5,3371
NS(C)(=O),5,3372
NS(C)(=O)=,5,3373
=O)cc1,5,3374
cc1)C,5,3375
1)CC,5,3376
Cc1n,5,3377
c(N)nc,5,3378
(N)nc,5,3379
N)nc,5,3380
)nc(,5,3381
c(Cl)cc1,5,3382
(Cl)cc1,5,3383
Cl)cc1,5,3384
l)cc1,5,3385
c1ccc(-,5,3386
1ccc(-,5,3387
ccc(-c2c,5,3388
ccc3c,5,3389
C(=O)O)cc,5,3390
(=O)O)cc,5,3391
=O)O)cc,5,3392
O)O)cc,5,3393
)O)cc,5,3394
O)ccc,5,3395
c3c2,5,3396
3c2,5,3397
cc1[,5,3398
@H]3C[,5,3399
@H]3C[C,5,3400
@H]3C[C@,5,3401
H]3C[,5,3402
H]3C[C,5,3403
H]3C[C@,5,3404
]3C[,5,3405
]3C[C,5,3406
]3C[C@,5,3407
(C3,5,3408
FC(,5,3409
FC(F,5,3410
FC(F),5,3411
(F)C,5,3412
Nc1nc(,5,3413
2[C@@H]1C,5,3414
[C@@H]1C[,5,3415
[C@@H]1C[C,5,3416
C@@H]1C[,5,3417
C@@H]1C[C,5,3418
C@@H]1C[C@,5,3419
@@H]1C[,5,3420
@@H]1C[C,5,3421
@@H]1C[C@,5,3422
[C@@H](CO,5,3423
[C@@H](CO),5,3424
C@@H](CO,5,3425
C@@H](CO),5,3426
@@H](CO,5,3427
@@H](CO),5,3428
O1,5,3429
C(=O)C(,5,3430
(=O)C(,5,3431
(c2cccc,5,3432
)(c,5,3433
C(=C,5,3434
(=C,5,3435
C)c1c,5,3436
C)c1cc,5,3437
)cc1)c1cc,5,3438
)[C@H]1c,5,3439
)[C@H]1c1,5,3440
)[C@H]1c1c,5,3441
[C@H]1c1cc,5,3442
C@H]1c1cc,5,3443
C@H]1c1ccc,5,3444
onc,5,3445
(C)O,5,3446
@H]2[C@H](,5,3447
H]2[C@H](,5,3448
]2[C@H](,5,3449
2[C@H](,5,3450
@]3(,5,3451
)OC(C)(,5,3452
)OC(C)(C,5,3453
)OC(C)(C),5,3454
OC(C)(,5,3455
OC(C)(C,5,3456
OC(C)(C),5,3457
O[C@],5,3458
CC#,5,3459
C#N),5,3460
#N),5,3461
N2C(C(=O)O,5,3462
2C(C(=O)O,5,3463
2C(C(=O)O),5,3464
(=O)O)=C(C,5,3465
=O)O)=C(C,5,3466
O)O)=C(C,5,3467
)O)=C(C,5,3468
C(CS,5,3469
(CS,5,3470
@H]21,5,3471
H]21,5,3472
[C@@H](Cc,5,3473
[C@@H](Cc1,5,3474
C@@H](Cc,5,3475
C@@H](Cc1,5,3476
C@@H](Cc1c,5,3477
@@H](Cc,5,3478
@@H](Cc1,5,3479
@@H](Cc1c,5,3480
@@H](Cc1cc,5,3481
@H](Cc1,5,3482
@H](Cc1c,5,3483
@H](Cc1cc,5,3484
H](Cc1,5,3485
H](Cc1c,5,3486
H](Cc1cc,5,3487
](Cc1,5,3488
](Cc1c,5,3489
](Cc1cc,5,3490
c(Oc2,5,3491
c(Oc2c,5,3492
c(Oc2cc,5,3493
(Oc2,5,3494
(Oc2c,5,3495
(Oc2cc,5,3496
Oc2,5,3497
Oc2c,5,3498
Oc2cc,5,3499
C@H]1O[C@@,5,3500
]1O[C@@H](,5,3501
1O[C@@H](,5,3502
C@@H]2[C@H,5,3503
@@H]2[C@H,5,3504
@@H]2[C@H],5,3505
([C@H,5,3506
([C@H],5,3507
O[C@H]2C,5,3508
@H]1N,5,3509
H]1N,5,3510
]1N,5,3511
C=C(C,5,3512
1C(=O)N2C(,5,3513
[C@H](C(,5,3514
C@H](C(,5,3515
(C(=O)Nc,5,3516
ccc(C(=O)O,5,3517
)c4,5,3518
c4),5,3519
C#C[C@],5,3520
C#C[C@]1,5,3521
C#C[C@]1(,5,3522
C#C[C@]1(O,5,3523
#C[C@],5,3524
#C[C@]1,5,3525
#C[C@]1(,5,3526
#C[C@]1(O,5,3527
C[C@]1(,5,3528
C[C@]1(O,5,3529
@]1(O),5,3530
@]1(O)C,5,3531
@]1(O)CC,5,3532
@]1(O)CC[,5,3533
@]1(O)CC[C,5,3534
]1(O),5,3535
]1(O)C,5,3536
]1(O)CC,5,3537
]1(O)CC[,5,3538
]1(O)CC[C,5,3539
]1(O)CC[C@,5,3540
1(O),5,3541
1(O)C,5,3542
1(O)CC,5,3543
1(O)CC[,5,3544
1(O)CC[C,5,3545
1(O)CC[C@,5,3546
O)CC[C@H,5,3547
O)CC[C@H],5,3548
CC[C@H]2[,5,3549
CC[C@H]2[C,5,3550
C[C@H]2[,5,3551
C[C@H]2[C,5,3552
C[C@H]2[C@,5,3553
@H]2[C@H]3,5,3554
H]2[C@H]3,5,3555
H]2[C@H]3C,5,3556
]2[C@H]3,5,3557
]2[C@H]3C,5,3558
]2[C@H]3CC,5,3559
2[C@H]3,5,3560
2[C@H]3C,5,3561
2[C@H]3CC,5,3562
H]3CCC4=CC,5,3563
]3CCC4=CC,5,3564
3CCC4=CC,5,3565
CCC[C@@,5,3566
CCC[C@@H,5,3567
CCC[C@@H],5,3568
@H]4[,5,3569
@H]4[C,5,3570
@H]4[C@,5,3571
H]4[,5,3572
H]4[C,5,3573
H]4[C@,5,3574
]4[,5,3575
]4[C,5,3576
]4[C@,5,3577
3C(,5,3578
)C[C@@],5,3579
c1ccc(C(,5,3580
c1ccc(C(=,5,3581
c1ccc(C(=O,5,3582
1ccc(C(,5,3583
1ccc(C(=,5,3584
1ccc(C(=O,5,3585
1ccc(C(=O),5,3586
)c1cc2,5,3587
)c1cc2c,5,3588
)c1cc2c(,5,3589
)c1cc2c(c,5,3590
)c1cc2c(cc,5,3591
c1cc2c(c,5,3592
c1cc2c(cc,5,3593
c1cc2c(cc1,5,3594
1cc2c(c,5,3595
1cc2c(cc,5,3596
1cc2c(cc1,5,3597
cc2c(cc,5,3598
cc2c(cc1,5,3599
c2c(cc,5,3600
c2c(cc1,5,3601
2c(cc,5,3602
2c(cc1,5,3603
c(cc1,5,3604
(cc1,5,3605
CCCCN,5,3606
c2nc(,5,3607
CCN1CC,5,3608
CN1CCN,5,3609
CN1CCN(,5,3610
1CCN(C(,5,3611
CCN(C(=,5,3612
CCN(C(=O,5,3613
CCN(C(=O),5,3614
CN(C(=,5,3615
CN(C(=O,5,3616
CN(C(=O),5,3617
N(C(=,5,3618
N(C(=O,5,3619
N(C(=O),5,3620
O)N[C@@H](,5,3621
)N[C@@H](C,5,3622
[C@@H](C(,5,3623
C@@H](C(,5,3624
@@H](C(,5,3625
)c2cccc,5,3626
)c2ccccc,5,3627
)c2ccccc2,5,3628
)c2ccccc2),5,3629
cc1)c1cccc,5,3630
c1)c1cccc,5,3631
c1)c1ccccc,5,3632
1)c1cccc,5,3633
1)c1ccccc,5,3634
1)c1ccccc1,5,3635
=CC(=O)CC[,5,3636
CC(=O)CC[,5,3637
CC(=O)CC[C,5,3638
