Subsequence,Frequency,Rank
O)[C@@H](,23,548
)[C@@H]1,23,549
@H](O)C,23,550
H](O)C,23,551
](O)C,23,552
-],23,553
\C,23,554
@H]2C,23,555
H]2C,23,556
]2C,23,557
CCOC,23,558
c2)c,23,559
2[C@@,23,560
2[C@@H,23,561
2[C@@H],23,562
cc(O),23,563
cc(O)c,23,564
C1=C,23,565
1=C,23,566
(C)N,23,567
C)N,23,568
)=C(,23,569
CS,23,570
C(=O)N2,23,571
(=O)N2,23,572
=O)N2,23,573
2C(,23,574
c1cc(,23,575
c2ccc(,23,576
)CC[,23,577
)CC[C,23,578
)CC[C@,23,579
]4,23,580
)C[,23,581
)C[C,23,582
)C[C@,23,583
c(c,23,584
(=O)c1cc,23,585
=O)c1cc,23,586
c3cccc,23,587
3cccc,23,588
cccc3,23,589
4C,23,590
=C/,23,591
c(=,22,592
c(=O,22,593
c(=O),22,594
)nc,22,595
CO),22,596
(=O)[O,22,597
(=O)[O-,22,598
(=O)[O-],22,599
=O)[O,22,600
=O)[O-,22,601
=O)[O-],22,602
O)[O,22,603
O)[O-,22,604
O)[O-],22,605
)[O,22,606
)[O-,22,607
)[O-],22,608
[O,22,609
[O-,22,610
[O-],22,611
O-,22,612
O-],22,613
C/C=,22,614
C/C=C,22,615
Oc1ccc,22,616
cc1),22,617
(C(=O)O),22,618
)C1,22,619
C1=C(,22,620
1=C(,22,621
)c(O,22,622
)N[,22,623
)N[C,22,624
)N[C@,22,625
C(=O)c1,22,626
)c(C,22,627
c3ccccc,22,628
3ccccc,22,629
c(F,22,630
c(F),22,631
(F)c,22,632
nc2,21,633
O)c2,21,634
)c2cc,21,635
N(CC,21,636
1c(,21,637
](C),21,638
c(-c2,21,639
(-c2,21,640
-c2c,21,641
[C@]1,21,642
C@]1,21,643
c1ccc(O,21,644
1ccc(O,21,645
(C)NC,21,646
C)NC,21,647
C(C)=C,21,648
(C)=C,21,649
C)=C,21,650
)=C(C,21,651
O[C@@,21,652
@H]1C(,21,653
H]1C(,21,654
]1C(,21,655
1C(=O)N,21,656
3[,21,657
C(=O)c1c,21,658
c3ccccc3,21,659
3ccccc3,21,660
ccccc3,21,661
OC),21,662
c(F)c,21,663
ncn,20,664
([,20,665
C)c1,20,666
(C)CC,20,667
CCc,20,668
C3),20,669
)Nc,20,670
4),20,671
]3CC,20,672
CC4,20,673
(O)c1,20,674
(=O)N[,20,675
(=O)N[C,20,676
(=O)N[C@,20,677
=O)N[,20,678
=O)N[C,20,679
=O)N[C@,20,680
O)N[,20,681
O)N[C,20,682
O)N[C@,20,683
ccc2c,20,684
C(N,20,685
2c1,19,686
2[C@H,19,687
2[C@H],19,688
2nc,19,689
O)[C@H](,19,690
cccc(,19,691
@]2,19,692
CN(C),19,693
OC(=O)C,19,694
=O)CC,19,695
)ccc,19,696
3)C,19,697
C(F,19,698
C(F),19,699
O=,19,700
C1=C(C,19,701
1=C(C,19,702
NC(C,19,703
O)c(,19,704
@H]1C(=,19,705
@H]1C(=O,19,706
@H]1C(=O),19,707
H]1C(=,19,708
H]1C(=O,19,709
H]1C(=O),19,710
]1C(=,19,711
]1C(=O,19,712
]1C(=O),19,713
(=O)Nc,19,714
=O)Nc,19,715
O)Nc,19,716
@H]3CC,19,717
H]3CC,19,718
CC2,19,719
O)c1ccc(,19,720
N1C,19,721
C(=O)N[,19,722
C(=O)N[C,19,723
C(=O)N[C@,19,724
2)C,19,725
1CC[,19,726
3ccc(,19,727
C)[C@@,19,728
ncc,19,729
S(=,19,730
S(=O,19,731
S(=O),19,732
S(=O)(,19,733
S(=O)(=,19,734
S(=O)(=O,19,735
S(=O)(=O),19,736
(=O)(=,19,737
(=O)(=O,19,738
(=O)(=O),19,739
=O)(=,19,740
=O)(=O,19,741
=O)(=O),19,742
O)(=,19,743
O)(=O,19,744
O)(=O),19,745
c2c1,18,746
O[C@H,18,747
O[C@H],18,748
C[C@H](O,18,749
)[C@H](O,18,750
)[C@H](O),18,751
CN(CC,18,752
CN(C)C,18,753
(=O)=,18,754
(=O)=O,18,755
=O)=,18,756
=O)=O,18,757
O)=O,18,758
1)C,18,759
c(-c2c,18,760
(-c2c,18,761
-c2cc,18,762
2)cc,18,763
O)C(,18,764
ccc(O),18,765
ccc(O)c,18,766
NC(C),18,767
=C(C(,18,768
=C(C(=,18,769
=C(C(=O,18,770
=C(C(=O),18,771
=C(C(=O)O,18,772
)[C@H]1,18,773
C#,18,774
)C(=O)N,18,775
S[,18,776
S[C,18,777
S[C@,18,778
C(=O)Nc,18,779
1CC[C,18,780
1CC[C@,18,781
CNC(,18,782
NC(=O)c,18,783
c3ccc(,18,784
)c3cc,18,785
c(C),18,786
c(OC),18,787
c(OC)c,18,788
(OC),18,789
(OC)c,18,790
OC)c,18,791
@H](O)[C@@,17,792
H](O)[C@@,17,793
](O)[C@@,17,794
(O)[C@@,17,795
c2nc,17,796
[C@H](O)[,17,797
[C@H](O)[C,17,798
C@H](O)[,17,799
C@H](O)[C,17,800
C@H](O)[C@,17,801
COc1ccc,17,802
[N+,17,803
[N+],17,804
N+,17,805
N+],17,806
NS,17,807
c(N),17,808
cc(-,17,809
c(C(=,17,810
c(C(=O,17,811
c(C(=O),17,812
1[,17,813
O)C1,17,814
=C(C),17,815
C(C)N,17,816
C)[C@H,17,817
C)[C@H],17,818
O[C@@H,17,819
O[C@@H],17,820
=O)[C@@,17,821
=O)[C@@H,17,822
=O)[C@@H],17,823
N[C@H,17,824
N[C@H],17,825
N[C@@,17,826
C(=O)c1cc,17,827
c3)c,17,828
ccn,17,829
C)[C@@H,17,830
C)[C@@H],17,831
](NC,17,832
)c3ccc,17,833
ccc(OC,17,834
C2),17,835
